value,type,notes
94b71ee0861cc7cfbbae53ad2e411a76f296fd5684edf6b25ebe79bf6a2a600a,sha256,"BLUELIGHT sample from VirusTotal"
67c27e2817d83786d95221ea4a02842847515f25,sha1,"BLUELIGHT sample from VirusTotal"
bfbe94391dc7e0eaa1e59ae6d6029393,md5,"BLUELIGHT sample from VirusTotal"
jquery.services,hostname,"Domain serving exploit code via DailyNK"
5c430e2770b59cceba1f1587b34e686d586d2c8ba1908bb5d066a616466d2cc6,sha256,"BLUELIGHT sample from Volexity investigation"
558ce5e8c0b1b0a76b88db087f0c92f7a62716fe,sha1,"BLUELIGHT sample from Volexity investigation"
9b86888a83dd0dd1c3a0929f1ea53b82,md5,"BLUELIGHT sample from Volexity investigation"
7c40019c1d4cef2ffdd1dd8f388aaba537440b1bffee41789c900122d075a86d,sha256,"BLUELIGHT sample from VirusTotal"
c644e8d446bb6bbcd4696d6a19d009b522258c9e,sha1,"BLUELIGHT sample from VirusTotal"
0b649bc5dbbf21801c21aaa5e5f79fc6,md5,"BLUELIGHT sample from VirusTotal"